freq,unit,sex,nace_r2,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC_EMP,T,C_HTC_MH,AT	5.8 	5.9 	6.2 	6.0 	5.9 	6.3 	6.2 	6.1 	6.5 b	6.4 	6.4 	6.5 
A,PC_EMP,T,C_HTC_MH,BA	: 	: 	: 	: 	: 	: 	: 	: 	2.0 b	2.2 	2.8 	2.8 
A,PC_EMP,T,C_HTC_MH,BE	4.7 	4.8 	4.6 	4.5 	4.2 b	4.8 	4.6 	4.4 	4.4 b	4.2 	4.2 	4.1 
A,PC_EMP,T,C_HTC_MH,BG	3.9 	3.7 	3.9 	4.0 	3.8 	4.0 	4.2 b	4.3 	4.5 b	4.5 	4.6 	4.0 
A,PC_EMP,T,C_HTC_MH,CH	6.0 	5.9 	5.6 	5.6 	5.7 	5.6 	5.8 	5.9 	5.5 b	5.5 	5.7 	5.6 
A,PC_EMP,T,C_HTC_MH,CY	1.0 	0.9 	0.8 	0.8 	0.8 	0.9 	0.7 	0.9 	1.1 b	1.0 	0.9 	0.8 
A,PC_EMP,T,C_HTC_MH,CZ	10.5 	11.2 	11.2 	11.5 	11.4 	11.3 	11.5 	11.5 	11.3 b	11.0 	10.7 	10.5 
A,PC_EMP,T,C_HTC_MH,DE	9.6 	9.7 	9.9 	9.8 	9.8 	9.9 	9.9 	10.1 b	10.1 b	9.4 	9.5 	9.7 
A,PC_EMP,T,C_HTC_MH,DK	5.1 	5.1 	5.2 	5.1 b	5.0 b	4.9 	4.6 	4.9 	5.0 b	5.0 	5.3 b	5.4 
A,PC_EMP,T,C_HTC_MH,EA20	5.9 	6.0 	6.1 	6.1 	6.1 	6.0 	6.1 	6.1 	6.0 b	5.8 	5.8 	5.8 
A,PC_EMP,T,C_HTC_MH,EE	4.1 	3.5 	3.6 	4.0 	3.7 	4.1 	4.2 	4.3 	4.3 b	4.2 	4.1 	3.8 
A,PC_EMP,T,C_HTC_MH,EL	1.2 	1.2 	1.3 	1.4 	1.3 	1.4 	1.6 	1.7 	1.6 b	1.7 	1.6 	1.4 
A,PC_EMP,T,C_HTC_MH,ES	3.9 	3.9 	4.0 	3.9 	4.1 	4.1 	4.0 	4.0 	4.0 bd	4.0 d	4.0 d	4.0 d
A,PC_EMP,T,C_HTC_MH,EU27_2020	5.9 	6.0 	6.1 	6.2 	6.2 	6.2 	6.2 	6.2 	6.1 b	5.9 	6.0 	6.0 
A,PC_EMP,T,C_HTC_MH,FI	5.1 	5.0 	4.7 	4.8 	4.9 	4.8 	4.7 	5.0 	4.7 b	4.6 	5.0 	5.2 
A,PC_EMP,T,C_HTC_MH,FR	4.5 	4.4 b	4.4 	4.4 	4.5 	4.2 	4.2 	4.1 	3.8 bd	3.8 d	3.9 d	3.7 d
A,PC_EMP,T,C_HTC_MH,HR	3.6 	3.3 	3.2 	3.4 	3.7 	3.4 	3.5 	3.6 	3.7 b	3.6 	3.4 	3.3 
A,PC_EMP,T,C_HTC_MH,HU	8.5 	8.9 	9.1 	9.5 	9.8 	9.9 b	9.7 	9.7 	9.2 b	9.1 	8.9 	9.1 
A,PC_EMP,T,C_HTC_MH,IE	5.2 	5.0 	5.3 	5.5 	4.5 b	3.7 	3.6 	4.2 	4.6 b	4.2 	4.2 	4.0 
A,PC_EMP,T,C_HTC_MH,IS	1.5 	1.7 	1.5 	1.7 	1.3 	1.3 	1.4 	1.7 b	1.8 b	1.7 	1.8 	1.7 
A,PC_EMP,T,C_HTC_MH,IT	5.9 	6.0 	6.1 	6.1 	6.0 	6.1 b	6.3 	6.4 	6.4 b	6.2 	6.2 	6.1 
A,PC_EMP,T,C_HTC_MH,LT	1.8 	1.9 	2.1 	2.1 	2.2 	2.2 	2.4 	2.6 	2.8 b	2.8 	2.7 	2.6 
A,PC_EMP,T,C_HTC_MH,LU	0.9 	1.3 	0.8 b	0.8 	0.6 	0.6 	0.8 	0.7 	0.5 b	0.6 	: u	: u
A,PC_EMP,T,C_HTC_MH,LV	1.8 	1.6 	1.6 	1.8 	1.7 	1.6 	1.7 	2.2 	2.0 b	2.1 	1.9 	2.0 
A,PC_EMP,T,C_HTC_MH,ME	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC_EMP,T,C_HTC_MH,MK	1.4 	2.1 	2.7 	2.9 	3.6 	4.7 	5.0 	5.1 	: 	: 	: 	: 
A,PC_EMP,T,C_HTC_MH,MT	3.9 	4.0 	3.4 	3.7 	3.6 	3.1 	3.4 	3.3 	2.8 b	2.5 	2.8 	2.9 
A,PC_EMP,T,C_HTC_MH,NL	2.7 b	2.7 	2.8 	2.9 	2.8 	2.8 	2.8 	2.8 	2.9 b	2.9 	2.9 	2.8 
A,PC_EMP,T,C_HTC_MH,NO	2.8 	3.0 	3.0 	2.9 	2.7 	2.5 	2.3 	2.4 	2.4 b	2.2 	2.2 	2.1 
A,PC_EMP,T,C_HTC_MH,PL	5.0 	5.2 	5.3 	5.7 	5.9 	5.9 	5.9 b	5.5 	5.2 b	5.2 	5.3 	5.8 
A,PC_EMP,T,C_HTC_MH,PT	2.7 	3.0 	3.1 	3.1 	3.3 	3.5 	3.3 	3.2 	3.5 b	3.8 	3.8 	3.8 
A,PC_EMP,T,C_HTC_MH,RO	4.8 	5.3 	5.6 	5.8 	5.9 	6.4 	6.5 	6.3 	6.8 b	6.8 	7.0 	6.9 
A,PC_EMP,T,C_HTC_MH,RS	4.1 	3.5 b	3.4 	3.5 	4.0 	4.5 	5.0 	4.8 	5.3 b	5.9 	5.5 	5.6 
A,PC_EMP,T,C_HTC_MH,SE	4.4 	4.3 	4.4 	4.4 	4.3 	4.4 b	4.2 	4.2 	4.4 b	4.5 	4.7 	4.5 
A,PC_EMP,T,C_HTC_MH,SI	8.3 	8.6 	9.4 	9.6 	9.8 	10.2 	10.3 	10.4 	8.8 b	8.8 	8.6 	9.0 
A,PC_EMP,T,C_HTC_MH,SK	9.8 	9.4 	10.6 	10.8 	11.2 	11.3 	10.9 	11.2 	11.9 b	11.3 	10.3 	10.1 
A,PC_EMP,T,C_HTC_MH,TR	3.1 	3.2 b	3.3 	3.3 	3.3 	3.5 	3.6 	4.0 	4.0 b	4.0 	4.2 	4.2 
A,PC_EMP,T,C_HTC_MH,UK	3.7 	3.7 	3.6 	3.6 	3.6 	3.6 	3.7 	: 	: 	: 	: 	: 
A,PC_EMP,T,KIS,AT	37.6 	37.9 	38.3 	38.0 	38.9 	38.6 	38.8 	39.4 	40.2 b	39.8 	40.6 	41.3 
A,PC_EMP,T,KIS,BA	: 	: 	: 	: 	: 	: 	: 	: 	27.6 b	27.4 	28.0 	28.7 
A,PC_EMP,T,KIS,BE	46.7 	47.5 	47.6 	48.2 	48.8 b	48.2 	47.9 	50.0 	51.4 b	50.3 	50.1 	50.1 
A,PC_EMP,T,KIS,BG	30.4 	30.7 	31.2 	31.0 	30.1 	30.7 	30.8 b	31.7 	32.1 b	31.7 	32.3 	34.0 
A,PC_EMP,T,KIS,CH	42.8 	43.8 	44.7 	45.3 	46.0 	46.4 	47.2 	47.9 	46.5 b	45.3 	46.1 	47.1 
A,PC_EMP,T,KIS,CY	38.3 	39.9 	38.6 	38.9 	38.9 	39.7 	39.0 	40.3 	42.2 b	42.2 	43.1 	42.6 
A,PC_EMP,T,KIS,CZ	32.6 	32.6 	32.0 	32.9 	33.3 	33.3 	33.5 	34.5 	35.9 b	35.6 	36.3 	36.7 
A,PC_EMP,T,KIS,DE	39.6 	39.7 	40.0 	40.4 	40.4 	40.7 	41.1 	42.5 b	42.2 b	42.5 	43.3 	44.0 
A,PC_EMP,T,KIS,DK	49.9 	50.0 	49.0 	49.1 b	48.4 b	48.5 	48.7 	49.2 	49.4 b	49.1 	49.8 b	49.8 
A,PC_EMP,T,KIS,EA20	39.4 	39.9 	40.0 	40.1 	40.1 	40.3 	40.6 	41.7 	42.1 b	42.1 	42.5 	42.7 
A,PC_EMP,T,KIS,EE	35.5 	36.1 	34.8 	34.9 	34.9 	35.7 	36.7 	37.2 	38.4 b	38.5 	39.7 	39.8 
A,PC_EMP,T,KIS,EL	36.7 	36.2 	35.9 	36.4 	36.2 	36.4 	36.6 	38.3 	39.1 b	38.2 	37.9 	37.7 
A,PC_EMP,T,KIS,ES	35.9 	36.2 	35.9 	35.9 	35.9 	35.8 	36.1 	37.4 	38.0 bd	38.1 d	38.1 d	38.1 d
A,PC_EMP,T,KIS,EU27_2020	37.9 	38.3 	38.4 	38.6 	38.6 	38.7 	39.1 	40.1 	40.7 b	40.8 	41.3 	41.5 
A,PC_EMP,T,KIS,FI	44.4 	45.1 	45.4 	45.0 	45.8 	45.8 	46.2 	47.5 	45.7 b	45.9 	46.6 	47.4 
A,PC_EMP,T,KIS,FR	44.7 	45.7 b	46.3 	46.1 	46.1 	46.2 	46.7 	47.7 	46.6 bd	46.4 d	47.5 d	46.6 d
A,PC_EMP,T,KIS,HR	33.5 	33.8 	33.7 	34.3 	34.8 	35.6 	36.5 	36.4 	34.9 b	35.5 	37.2 	38.1 
A,PC_EMP,T,KIS,HU	36.1 	35.7 	35.9 	36.1 	35.1 	35.0 b	34.9 	35.7 	37.0 b	36.6 	36.3 	37.2 
A,PC_EMP,T,KIS,IE	45.4 	45.6 	45.0 	44.6 	44.4 b	44.3 	45.0 	47.0 	48.6 b	47.9 	48.6 	49.6 
A,PC_EMP,T,KIS,IS	48.1 	47.9 	48.3 	48.1 	48.9 	51.0 	51.8 	53.0 b	51.3 b	51.4 	49.8 	50.2 
A,PC_EMP,T,KIS,IT	34.2 	34.5 	34.5 	34.6 	34.7 	34.8 b	35.0 	35.3 	35.4 b	34.9 	35.6 	35.5 
A,PC_EMP,T,KIS,LT	33.1 	32.8 	33.8 	34.5 	34.3 	34.6 	35.1 	36.8 	37.1 b	38.1 	38.5 	40.0 
A,PC_EMP,T,KIS,LU	57.2 	58.3 	52.1 b	51.5 	48.5 	52.4 	55.4 	56.4 	57.4 b	58.6 	58.1 	60.2 
A,PC_EMP,T,KIS,LV	36.1 	35.7 	36.0 	36.2 	37.3 	36.0 	36.5 	37.1 	38.0 b	38.0 	38.3 	40.3 
A,PC_EMP,T,KIS,ME	36.6 	34.8 	35.6 	36.4 	36.4 	35.2 	36.0 	37.6 	: 	: 	: 	: 
A,PC_EMP,T,KIS,MK	25.6 	25.5 	26.0 	26.8 	26.4 	25.9 	26.9 	28.8 	: 	: 	: 	: 
A,PC_EMP,T,KIS,MT	44.1 	44.4 	46.3 	45.9 	46.4 	48.4 	47.0 	47.9 	49.9 b	50.1 	49.5 	49.6 
A,PC_EMP,T,KIS,NL	46.7 b	46.6 	46.3 	46.0 	45.0 	45.8 	46.1 	46.7 	52.1 b	53.1 	53.0 	53.3 
A,PC_EMP,T,KIS,NO	51.2 	51.2 	51.0 	51.8 	52.0 	52.0 	52.0 	52.5 	52.8 b	52.2 	52.3 	52.4 
A,PC_EMP,T,KIS,PL	31.2 	31.4 	31.2 	30.9 	31.3 	31.7 	32.1 b	32.5 	33.5 b	33.8 	35.4 	36.0 
A,PC_EMP,T,KIS,PT	33.5 	34.9 	36.0 	35.9 	35.5 	36.7 	36.8 	37.4 	40.3 b	39.4 	38.7 	39.3 
A,PC_EMP,T,KIS,RO	20.1 	20.0 	21.8 	22.0 	22.3 	22.1 	22.5 	23.0 	25.2 b	25.7 	24.4 	25.2 
A,PC_EMP,T,KIS,RS	27.5 	28.6 b	28.3 	27.3 	27.5 	27.9 	27.4 	27.7 	29.9 b	30.7 	31.1 	31.8 
A,PC_EMP,T,KIS,SE	51.7 	52.5 	52.8 	53.2 	53.5 	53.8 b	54.0 	54.6 	55.6 b	56.9 	57.1 	57.1 
A,PC_EMP,T,KIS,SI	34.4 	34.7 	35.1 	35.6 	35.6 	35.2 	35.7 	37.6 	41.8 b	40.8 	37.2 	37.6 
A,PC_EMP,T,KIS,SK	32.8 	34.0 	33.8 	33.6 	34.4 	34.5 	35.1 	35.5 	36.3 b	36.8 	36.3 	36.6 
A,PC_EMP,T,KIS,TR	20.1 	20.7 b	21.8 	22.8 	22.6 	24.2 	25.8 	26.7 	25.7 b	25.8 	26.6 	26.7 
A,PC_EMP,T,KIS,UK	48.7 	48.7 	49.1 	49.0 	49.1 	49.7 	50.5 	: 	: 	: 	: 	: 
